a,b,c,d
"1250 - Cora‡Æo de Jesus,ÿSanta Isabel,ÿSÆo Jos‚ÿandÿSÆo Mamede",1,9,"9,"
"1200 -ÿEncarna‡Æo,ÿLapa,ÿMercˆs,ÿSacramento,ÿSanta Catarina,ÿSantos-o-VelhoÿandÿSÆo Paulo",1,10,"10,"
"1170 -ÿGra‡a,ÿPenha de Fran‡aÿandÿSÆo Jorge de Arroios",1,11,"11,"
1249 -ÿM rtires,1,12,"12,"
1950 -ÿMarvila,1,13,"13,"
1000 -ÿNossa Senhora de F timaÿandÿSÆo JoÆo de Deus,1,14,"14,"
1990 -ÿParque das Na‡äes,1,15,"15,"
1350 -ÿPrazeresÿandÿSanto Condest vel,1,16,"16,"
1400 -ÿSanta Maria de Bel‚mÿandÿSÆo Francisco Xavier,1,17,"17,"
1800 -ÿSanta Maria dos Olivais,1,18,"18,"
1100/1170 -ÿSanta Engr cia,1,19,"19,"
1149 -ÿSÆo NicolauÿandÿS‚,1,20,"20,"
Louresÿmunicipality[edit],0,21,"21,"
2680 -ÿApela‡Æo,1,0,"0,"
2670 -ÿBucelas,1,1,"1,"
2680 -ÿCamarate,1,2,"2,"
2670 -ÿFanhäes,1,3,"3,"
2660 -ÿFrielas,1,4,"4,"
2670 -ÿLoures,1,5,"5,"
2670 -ÿLousa,1,6,"6,"
1885 -ÿMoscavide,1,7,"7,"
2685 -ÿSacav‚m,1,8,"8,"
2690 -ÿSanta Iria de Azoia,1,9,"9,"
2660 -ÿSanto AntÆo do Tojal,1,10,"10,"
2695 -ÿSÆo JoÆo da Talha,1,11,"11,"
2660 -ÿSÆo JuliÆo do Tojal,1,12,"12,"
2680 -ÿUnhos,1,13,"13,"
2685 -ÿPortela,1,14,"14,"
2695 -ÿBobadela,1,15,"15,"
2685 -ÿPrior Velho,1,16,"16,"
2660 -ÿSanto Ant¢nio de Cavaleiros,1,17,"17,"
LourinhÆÿmunicipality[edit],0,18,"18,"
2530 -ÿLourinhÆ,1,0,"0,"
2530 -ÿMiragaia,1,1,"1,"
2530 -ÿMoita dos Ferreiros,1,2,"2,"
2530 -ÿMoledo,1,3,"3,"
2530 -ÿReguengo Grande,1,4,"4,"
2530 -ÿSanta B rbara,1,5,"5,"
2530 -ÿSÆo Bartolomeu Galegos,1,6,"6,"
2530 -ÿVimeiro,1,7,"7,"
2530 -ÿMarteleira,1,8,"8,"
2530 -ÿRibamar,1,9,"9,"
2530 -ÿAtalaia,1,10,"10,"
Mafraÿmunicipality[edit],0,11,"11,"
2665 -ÿAzueira,1,0,"0,"
2655 -ÿCarvoeira,1,1,"1,"
2640 -ÿCheleiros,1,2,"2,"
2640 -ÿEncarna‡Æo,1,3,"3,"
2665 -ÿEnxara do Bispo,1,4,"4,"
2655 -ÿEriceira,1,5,"5,"
2665 -ÿGradil,1,6,"6,"
2640 -ÿIgreja Nova,1,7,"7,"
2640 -ÿMafra,1,8,"8,"
2665 -ÿMalveira,1,9,"9,"
2665 -ÿMilharado,1,10,"10,"
2665 -ÿSanto EstevÆo das Gal‚s,1,11,"11,"
2640 -ÿSanto Isidoro,1,12,"12,"
2640 -ÿSobral da Abelheira,1,13,"13,"
2665 -ÿVila Franca do Ros rio,1,14,"14,"
2665 -ÿVenda do Pinheiro,1,15,"15,"
2640 -ÿSÆo Miguel de Alcain‡a,1,16,"16,"
Oeiras Municipality[edit],0,17,"17,"
2730 -ÿBarcarena,1,0,"0,"
2790 -ÿCarnaxideÿandÿQueijas,1,1,"1,"
2780 -ÿOeiras e SÆo JuliÆo Barra,1,2,"2,"
2770 -ÿPa‡o de Arcos,1,3,"3,"
1495 -ÿAlg‚sÿandÿCruz Quebrada-Dafundo,1,4,"4,"
2795 -ÿLinda a Velha,1,5,"5,"
2740 -ÿPorto Salvo,1,6,"6,"
2760 -ÿCaxias,1,7,"7,"
Sintraÿmunicipality[edit],0,8,"8,"
2725 -ÿAlgueirÆo-Mem Martins,1,0,"0,"
2715 -ÿAlmargem do Bispo,1,1,"1,"
2605 -ÿBelas,1,2,"2,"
2705 -ÿColares,1,3,"3,"
2715 -ÿMontelavar,1,4,"4,"
2745 -ÿQueluz,1,5,"5,"
2635 -ÿRio de Mouro,1,6,"6,"
2710 -ÿSanta Maria e SÆo Miguel,1,7,"7,"
2705 -ÿSÆo JoÆo das Lampas,1,8,"8,"
2710 -ÿSÆo Martinho,1,9,"9,"
2710 -ÿSÆo Pedro Penaferrim,1,10,"10,"
2705 -ÿTerrugem,1,11,"11,"
2715 -ÿPero Pinheiro,1,12,"12,"
2605 -ÿCasal de Cambra,1,13,"13,"
2745 -ÿMassam ,1,14,"14,"
2745 -ÿMonte AbraÆo,1,15,"15,"
2735 -ÿAgualva,1,16,"16,"
2735 -ÿCac‚m,1,17,"17,"
2735 -ÿMira-Sintra,1,18,"18,"
2735 -ÿSÆo Marcos,1,19,"19,"
Sobral de Monte Agra‡oÿmunicipality[edit],0,20,"20,"
2590 -ÿSÆo Quintino,1,0,"0,"
2590 -ÿSapataria,1,1,"1,"
2590 -ÿSobral de Monte Agra‡o,1,2,"2,"
Torres Vedrasÿmunicipality[edit],0,3,"3,"
2560 -ÿA dos Cunhados,1,0,"0,"
2565 -ÿCampelos,1,1,"1,"
2565 -ÿCarmäes,1,2,"2,"
2565 -ÿCarvoeira,1,3,"3,"
2565 -ÿDois Portos,1,4,"4,"
2565 -ÿFreiria,1,5,"5,"
2565 -ÿMatacÆes,1,6,"6,"
2565 -ÿMaxial,1,7,"7,"
2565 -ÿMonte Redondo,1,8,"8,"
2560 -ÿPonte do Rol,1,9,"9,"
2565 -ÿRamalhal,1,10,"10,"
2565 -ÿRuna,1,11,"11,"
2560 -ÿSanta Maria e SÆo Miguel,1,12,"12,"
2560 -ÿSÆo Pedro da Cadeira,1,13,"13,"
2560 -ÿSÆo Pedro e SÆo Tiago,1,14,"14,"
2560 -ÿSilveira,1,15,"15,"
2565 -ÿTurcifal,1,16,"16,"
2565 -ÿVentosa,1,17,"17,"
2565 -ÿOuteiro da Cabe‡a,1,18,"18,"
2560 -ÿMaceira,1,19,"19,"
Vila Franca de Xiraÿmunicipality[edit],0,20,"20,"
2600 -ÿAlhandra,1,0,"0,"
2615 -ÿAlverca do Ribatejo,1,1,"1,"
2600 -ÿCachoeiras,1,2,"2,"
2615 -ÿCalhandriz,1,3,"3,"
2600 -ÿCastanheira do Ribatejo,1,4,"4,"
2625 -ÿP¢voa de Santa Iria,1,5,"5,"
2600 -ÿSÆo JoÆo dos Montes,1,6,"6,"
2625 -ÿVialonga,1,7,"7,"
2600 -ÿVila Franca de Xira,1,8,"8,"
2615 -ÿSobralinho,1,9,"9,"
2625 -ÿForte da Casa,1,10,"10,"
Amadoraÿmunicipality[edit],0,11,"11,"
2614 -ÿAlfragide,1,0,"0,"
2650 -ÿBrandoa,1,1,"1,"
2610 -ÿBuraca,1,2,"2,"
2720 -ÿDamaia,1,3,"3,"
2700 -ÿFalagueira,1,4,"4,"
2700 -ÿMina,1,5,"5,"
2720 -ÿReboleira,1,6,"6,"
2720 -ÿVenteira,1,7,"7,"
2650 -ÿAlfornelos,1,8,"8,"
2700 -ÿSÆo Br s,1,9,"9,"
2700 -ÿVenda Nova,1,10,"10,"
Odivelasÿmunicipality[edit],0,11,"11,"
1685 -ÿCane‡as,1,0,"0,"
1685 -ÿFamäes,1,1,"1,"
2675 -ÿOdivelas,1,2,"2,"
2620 -ÿOlival Basto,1,3,"3,"
1675 -ÿPontinha,1,4,"4,"
2620 -ÿP¢voa de Santo AdriÆo,1,5,"5,"
2620 -ÿRamada,1,6,"6,"
,0,7,"7,"
Portalegre District[edit],0,0,"0,"
Alter do ChÆoÿmunicipality[edit],0,0,"0,"
7440 -ÿAlter do ChÆo,1,0,"0,"
7440 -ÿChancelaria,1,1,"1,"
7440 -ÿSeda,1,2,"2,"
7440 -ÿCunheira,1,3,"3,"
Arronchesÿmunicipality[edit],0,4,"4,"
7340 -ÿAssun‡Æo,1,0,"0,"
7340 -ÿEsperan‡a,1,1,"1,"
7340 -ÿMosteiros,1,2,"2,"
Avis Municipality[edit],0,3,"3,"
7480 -ÿAlc¢rrego,1,0,"0,"
7480 -ÿAldeia Velha,1,1,"1,"
7480 -ÿAvis,1,2,"2,"
7480 -ÿBenavila,1,3,"3,"
7480 -ÿErvedal,1,4,"4,"
7480 -ÿFigueira e Barros,1,5,"5,"
7480 -ÿMaranhÆo,1,6,"6,"
7480 -ÿValongo,1,7,"7,"
Campo Maior[edit],0,8,"8,"
7370 -ÿNossa Senhora da Expecta‡Æo,1,0,"0,"
7370 -ÿNossa Senhora Gra‡a Degolados,1,1,"1,"
7370 -ÿSÆo JoÆo Batista,1,2,"2,"
Castelo de Vide[edit],0,3,"3,"
7320 -ÿNossa Senhora Gra‡a P¢voa Meadas,1,0,"0,"
7320 -ÿSanta Maria da Devesa,1,1,"1,"
7320 -ÿSantiago Maior,1,2,"2,"
7320 -ÿSÆo JoÆo Batista,1,3,"3,"
Crato Municipality[edit],0,4,"4,"
7430 -ÿAldeia da Mata,1,0,"0,"
7430 -ÿCrato e M rtires,1,1,"1,"
7430 -ÿFlor da Rosa,1,2,"2,"
7430 -ÿG fete,1,3,"3,"
7430 -ÿMonte da Pedra,1,4,"4,"
7430 -ÿVale do Peso,1,5,"5,"
Elvas Municipality[edit],0,6,"6,"
7350 -ÿAjuda SÆo Salvador Santo Ildefonso,1,0,"0,"
7350 -ÿAlc ‡ova,1,1,"1,"
7350 -ÿAssun‡Æo,1,2,"2,"
7350 -ÿBarbacena,1,3,"3,"
7350 -ÿCaia e SÆo Pedro,1,4,"4,"
7350 -ÿSanta Eul lia,1,5,"5,"
7350 -ÿSÆo Br s e SÆo Louren‡o,1,6,"6,"
7350 -ÿSÆo Vicente e Ventosa,1,7,"7,"
7350 -ÿTerrugem,1,8,"8,"
7350 -ÿVila Boim,1,9,"9,"
7350 -ÿVila Fernando,1,10,"10,"
Fronteira Municipality[edit],0,11,"11,"
7460 -ÿCabe‡o de Vide,1,0,"0,"
7460 -ÿFronteira,1,1,"1,"
7460 -ÿSÆo Saturnino,1,2,"2,"
GaviÆo Municipality[edit],0,3,"3,"
6040 -ÿAtalaia,1,0,"0,"
6040 -ÿBelver,1,1,"1,"
6040 -ÿComenda,1,2,"2,"
6040 -ÿGaviÆo,1,3,"3,"
6040 -ÿMargem,1,4,"4,"
MarvÆoÿmunicipality[edit],0,5,"5,"
7330 -ÿBeirÆ,1,0,"0,"
7330 -ÿSanta Maria de MarvÆo,1,1,"1,"
7330 -ÿSanto Ant¢nio das Areias,1,2,"2,"
7330 -ÿSÆo Salvador da Aramenha,1,3,"3,"
Monforte Municipality[edit],0,4,"4,"
7450 -ÿAssumar,1,0,"0,"
7450 -ÿMonforte,1,1,"1,"
7450 -ÿSanto Aleixo,1,2,"2,"
7450 -ÿVaiamonte,1,3,"3,"
Nisa Municipality[edit],0,4,"4,"
6050 -ÿAlpalhÆo,1,0,"0,"
6050 -ÿAmieira do Tejo,1,1,"1,"
6050 -ÿArez,1,2,"2,"
6050 -ÿEsp¡rito Santo,1,3,"3,"
6050 -ÿMontalvÆo,1,4,"4,"
6050 -ÿNossa Senhora da Gra‡a,1,5,"5,"
6050 -ÿSantana,1,6,"6,"
6050 -ÿSÆo Matias,1,7,"7,"
6050 -ÿSÆo SimÆo,1,8,"8,"
6050 -ÿTolosa,1,9,"9,"
Ponte de Sorÿmunicipality[edit],0,10,"10,"
7400 -ÿGalveias,1,0,"0,"
7425 -ÿMontargil,1,1,"1,"
7400 -ÿPonte de Sor,1,2,"2,"
7425 -ÿForos de ArrÆo,1,3,"3,"
7400 -ÿLongomel,1,4,"4,"
7400 -ÿVale de A‡or,1,5,"5,"
7400 -ÿTramaga,1,6,"6,"
Portalegre Municipality[edit],0,7,"7,"
7300 -ÿAlagoa,1,0,"0,"
7300 -ÿAlegrete,1,1,"1,"
7300 -ÿCarreiras,1,2,"2,"
7300 -ÿFortios,1,3,"3,"
7300 -ÿReguengo,1,4,"4,"
7300 -ÿRibeira de Nisa,1,5,"5,"
7300 -ÿSÆo JuliÆo,1,6,"6,"
7300 -ÿSÆo Louren‡o,1,7,"7,"
7300 -ÿS‚,1,8,"8,"
7300 -ÿUrra,1,9,"9,"
Sousel Municipality[edit],0,10,"10,"
7470 -ÿCano,1,0,"0,"
7470 -ÿCasa Branca,1,1,"1,"
7470 -ÿSanto Amaro,1,2,"2,"
7470 -ÿSousel,1,3,"3,"
,0,4,"4,"
Porto District[edit],0,0,"0,"
Amarante Municipality[edit],0,0,"0,"
4600 -ÿAboadela,1,0,"0,"
4600 -ÿAboim,1,1,"1,"
4600 -ÿAnsiÆes,1,2,"2,"
4605 -ÿAta¡de,1,3,"3,"
4600 -ÿBustelo,1,4,"4,"
4600 -ÿCanadelo,1,5,"5,"
4600 -ÿCandemil,1,6,"6,"
4600 -ÿCarneiro,1,7,"7,"
4600 -ÿCarvalho de Rei,1,8,"8,"
4600 -ÿCepelos,1,9,"9,"
4600 -ÿChapa,1,10,"10,"
4600 -ÿFregim,1,11,"11,"
4600 -ÿFreixo de Baixo,1,12,"12,"
4615 -ÿFreixo de Cima,1,13,"13,"
4600 -ÿFridÆo,1,14,"14,"
4600 -ÿGatÆo,1,15,"15,"
4600 -ÿGondar,1,16,"16,"
4600 -ÿJazente,1,17,"17,"
4600 -ÿLomba,1,18,"18,"
4600 -ÿLouredo,1,19,"19,"
4600 -ÿLufrei,1,20,"20,"
4600 -ÿMadalena,1,21,"21,"
4605 -ÿMancelos,1,22,"22,"
4605 -ÿOliveira,1,23,"23,"
4600 -ÿOlo,1,24,"24,"
4600 -ÿPadronelo,1,25,"25,"
4605 -ÿReal,1,26,"26,"
4600 -ÿRebordelo,1,27,"27,"
4600 -ÿSalvador do Monte,1,28,"28,"
4600 -ÿSanche,1,29,"29,"
4615 -ÿFigueir¢ (Santa Cristina),1,30,"30,"
4615 -ÿFigueir¢ (Santiago),1,31,"31,"
4600 -ÿSÆo Gon‡alo,1,32,"32,"
4600 -ÿSÆo SimÆo de Gouveia,1,33,"33,"
4615 -ÿTeläes,1,34,"34,"
4605 -ÿTravanca,1,35,"35,"
4600 -ÿV rzea,1,36,"36,"
4600 -ÿVila Caiz,1,37,"37,"
4600 -ÿVila ChÆ do MarÆo,1,38,"38,"
4600 -ÿVila Garcia,1,39,"39,"
BaiÆo Municipality[edit],0,40,"40,"
4640 -ÿAncede,1,0,"0,"
4640 -ÿCampelo,1,1,"1,"
4640 -ÿSÆo Tom‚ de Covelas,1,2,"2,"
4640 -ÿFrende,1,3,"3,"
4640 -ÿGesta‡“,1,4,"4,"
4640 -ÿGove,1,5,"5,"
4640 -ÿGrilo,1,6,"6,"
4640 -ÿLoivos do Monte,1,7,"7,"
4640 -ÿLoivos da Ribeira,1,8,"8,"
4640 -ÿMesquinhata,1,9,"9,"
4640 -ÿOvil,1,10,"10,"
4640 -ÿRibadouro,1,11,"11,"
4640 -ÿSanta Cruz do Douro,1,12,"12,"
4640 -ÿSanta Leoc dia (BaiÆo),1,13,"13,"
4640 -ÿSanta Marinha do Zˆzere,1,14,"14,"
5040 -ÿTeixeira,1,15,"15,"
5040 -ÿTeixeir¢,1,16,"16,"
4640 -ÿTresouras,1,17,"17,"
4640 -ÿValadares,1,18,"18,"
4640 -ÿViariz,1,19,"19,"
Felgueiras Municipality[edit],0,20,"20,"
4650 -ÿAiÆo,1,0,"0,"
4650 -ÿAirÆes,1,1,"1,"
4615 -ÿBorba de Godim,1,2,"2,"
4610 -ÿCaramos,1,3,"3,"
4610 -ÿFriande,1,4,"4,"
4650 -ÿIdÆes,1,5,"5,"
4610 -ÿJugueiros,1,6,"6,"
4610 -ÿLagares,1,7,"7,"
4650 -ÿLordelo,1,8,"8,"
4615 -ÿMacieira da Lixa,1,9,"9,"
4610 -ÿMoure,1,10,"10,"
4650 -ÿPedreira,1,11,"11,"
4610 -ÿPenacova,1,12,"12,"
4610 -ÿPinheiro,1,13,"13,"
4610 -ÿPombeiro de Ribavizela,1,14,"14,"
4650 -ÿRande,1,15,"15,"
4610 -ÿRefontoura,1,16,"16,"
4815 -ÿRegilde,1,17,"17,"
4650 -ÿRevinhade,1,18,"18,"
4610 -ÿMargaride Santa Eul lia,1,19,"19,"
4650 -ÿSantÆo,1,20,"20,"
4610 -ÿVizela (SÆo Jorge),1,21,"21,"
4610 -ÿSendim,1,22,"22,"
4650 -ÿSernande,1,23,"23,"
4650 -ÿSousa,1,24,"24,"
4650 -ÿTorrados,1,25,"25,"
4650 -ÿUnhÆo,1,26,"26,"
4610 -ÿV rzea,1,27,"27,"
4650 -ÿVarziela,1,28,"28,"
4615 -ÿVila Cova da Lixa,1,29,"29,"
4610 -ÿVila Fria,1,30,"30,"
4650 -ÿVila Verde,1,31,"31,"
Gondomar Municipality[edit],0,32,"32,"
4515 -ÿCovelo,1,0,"0,"
4510 -ÿFƒnzeres,1,1,"1,"
4515 -ÿFoz do Sousa,1,2,"2,"
4510 -ÿJovim,1,3,"3,"
4515 -ÿLomba,1,4,"4,"
4515 -ÿMedas,1,5,"5,"
4515 -ÿMelres,1,6,"6,"
4435 -ÿRio Tinto,1,7,"7,"
4420 -ÿSÆo Cosme,1,8,"8,"
4510 -ÿSÆo Pedro da Cova,1,9,"9,"
4420 -ÿValbom,1,10,"10,"
4435 -ÿBaguim do Monte,1,11,"11,"
Lousadaÿmunicipality[edit],0,12,"12,"
4620 -ÿAlvarenga,1,0,"0,"
4620 -ÿAveleda,1,1,"1,"
4620 -ÿBoim,1,2,"2,"
4620 -ÿCa¡de de Rei,1,3,"3,"
4620 -ÿCasais,1,4,"4,"
4620 -ÿCernadelo,1,5,"5,"
4620 -ÿCovas,1,6,"6,"
4620 -ÿCristelos,1,7,"7,"
4620 -ÿFigueiras,1,8,"8,"
4620 -ÿLodares,1,9,"9,"
4620 -ÿLustosa,1,10,"10,"
4620 -ÿMacieira,1,11,"11,"
4620 -ÿMeinedo,1,12,"12,"
4620 -ÿNespereira,1,13,"13,"
4620 -ÿNevogilde,1,14,"14,"
4620 -ÿNogueira,1,15,"15,"
4620 -ÿOrdem,1,16,"16,"
4620 -ÿPias,1,17,"17,"
4620 -ÿLousada (Santa Margarida),1,18,"18,"
4620 -ÿSanto EstevÆo (Barrosas),1,19,"19,"
4620 -ÿLousada (SÆo Miguel),1,20,"20,"
4620 -ÿSilvares,1,21,"21,"
4620 -ÿSousela,1,22,"22,"
4620 -ÿTorno,1,23,"23,"
4620 -ÿVilar do Torno e Alent‚m,1,24,"24,"
Maia Municipality[edit],0,25,"25,"
4425 -ÿµguas Santas,1,0,"0,"
4475 -ÿBarca,1,1,"1,"
4425 -ÿFolgosa,1,2,"2,"
4475 -ÿGemunde,1,3,"3,"
4475 -ÿGondim,1,4,"4,"
4470 -ÿGueifÆes,1,5,"5,"
4470 -ÿMaia,1,6,"6,"
4475 -ÿMilheir¢s,1,7,"7,"
4470 -ÿMoreira,1,8,"8,"
4475 -ÿNogueira,1,9,"9,"
4475 -ÿAvioso (Santa Maria),1,10,"10,"
4475 -ÿAvioso (SÆo Pedro),1,11,"11,"
4425 -ÿSÆo Pedro Fins,1,12,"12,"
4475 -ÿSilva Escura,1,13,"13,"
4470 -ÿVermoim,1,14,"14,"
4470 -ÿVila Nova da Telha,1,15,"15,"
4425 -ÿPedrou‡os,1,16,"16,"
Marco de Canavesesÿmunicipality[edit],0,17,"17,"
4575 -ÿAlpendurada e Matos,1,0,"0,"
4625 -ÿAriz,1,1,"1,"
4630 -ÿAvessadas,1,2,"2,"
4635 -ÿBanho e Carvalhosa,1,3,"3,"
4635 -ÿConstance,1,4,"4,"
4625 -ÿFaväes,1,5,"5,"
4635 -ÿFolhada,1,6,"6,"
4630 -ÿFornos,1,7,"7,"
4630 -ÿFreixo,1,8,"8,"
4625 -ÿMagrelos,1,9,"9,"
4630 -ÿManhuncelos,1,10,"10,"
4630 -ÿMaureles,1,11,"11,"
4625 -ÿPa‡os de Gaiolo,1,12,"12,"
4630 -ÿParedes de Viadores,1,13,"13,"
4625 -ÿPenha Longa,1,14,"14,"
4630 -ÿRio de Galinhas,1,15,"15,"
4625 -ÿRosem,1,16,"16,"
4625 -ÿSande,1,17,"17,"
4635 -ÿSanto Isidoro,1,18,"18,"
4625 -ÿSÆo Louren‡o do Douro,1,19,"19,"
4630 -ÿSÆo Nicolau,1,20,"20,"
4630 -ÿSoalhÆes,1,21,"21,"
4635 -ÿSobretƒmega,1,22,"22,"
4635 -ÿTabuado,1,23,"23,"
4575 -ÿTorrÆo,1,24,"24,"
4635 -ÿToutosa,1,25,"25,"
4630 -ÿTuias,1,26,"26,"
4575 -ÿV rzea do Douro,1,27,"27,"
4635 -ÿV rzea Ovelha e Aliviada,1,28,"28,"
4625 -ÿVila Boa do Bispo,1,29,"29,"
4635 -ÿVila Boa de Quires,1,30,"30,"
Matosinhosÿmunicipality[edit],0,31,"31,"
4460 -ÿCust¢ias,1,0,"0,"
4460 -ÿGuifäes,1,1,"1,"
4455 -ÿLavra,1,2,"2,"
4465 -ÿLe‡a do Balio,1,3,"3,"
4450 -ÿLe‡a da Palmeira,1,4,"4,"
4450 -ÿMatosinhos,1,5,"5,"
4455 -ÿPerafita,1,6,"6,"
4455 -ÿSanta Cruz do Bispo,1,7,"7,"
4465 -ÿSÆo Mamede de Infesta,1,8,"8,"
4460 -ÿSenhora da Hora,1,9,"9,"
Pa‡os de Ferreiraÿmunicipality[edit],0,10,"10,"
4595 -ÿArreigada,1,0,"0,"
4590 -ÿCarvalhosa,1,1,"1,"
4590 -ÿCodessos,1,2,"2,"
4595 -ÿEiriz,1,3,"3,"
4590 -ÿFerreira,1,4,"4,"
4590 -ÿFigueir¢,1,5,"5,"
4595 -ÿFrazÆo,1,6,"6,"
4590 -ÿFreamunde,1,7,"7,"
4590 -ÿLamoso,1,8,"8,"
4595 -ÿMeixomil,1,9,"9,"
4590 -ÿModelos,1,10,"10,"
4590 -ÿPa‡os de Ferreira,1,11,"11,"
4595 -ÿPenamaior,1,12,"12,"
4590 -ÿRaimonda,1,13,"13,"
4595 -ÿSanfins de Ferreira,1,14,"14,"
4595 -ÿSeroa,1,15,"15,"
Paredes Municipality[edit],0,16,"16,"
4585 -ÿAguiar de Sousa,1,0,"0,"
4585 -ÿAstromil,1,1,"1,"
4585 -ÿBaltar,1,2,"2,"
4580 -ÿBeire,1,3,"3,"
4580 -ÿBesteiros,1,4,"4,"
4580 -ÿBitarÆes,1,5,"5,"
4580 -ÿCasteläes de Cepeda,1,6,"6,"
4580 -ÿCete,1,7,"7,"
4580 -ÿCristelo,1,8,"8,"
4580 -ÿDuas Igrejas,1,9,"9,"
4585 -ÿGandra,1,10,"10,"
4580 -ÿGondalÆes,1,11,"11,"
4580 -ÿLordelo,1,12,"12,"
4580 -ÿLouredo,1,13,"13,"
4580 -ÿMadalena,1,14,"14,"
4580 -ÿMouriz,1,15,"15,"
4585 -ÿParada de Todeia,1,16,"16,"
4585 -ÿRebordosa,1,17,"17,"
4585 -ÿRecarei,1,18,"18,"
4585 -ÿSobreira,1,19,"19,"
4580 -ÿSobrosa,1,20,"20,"
4585 -ÿVandoma,1,21,"21,"
4580 -ÿVila Cova de Carros,1,22,"22,"
4580 -ÿVilela,1,23,"23,"
Penafiel Municipality[edit],0,24,"24,"
4560 -ÿAbragÆo,1,0,"0,"
4575 -ÿBoelhe,1,1,"1,"
4560 -ÿBustelo,1,2,"2,"
4575 -ÿCabe‡a Santa,1,3,"3,"
4575 -ÿCanelas,1,4,"4,"
4575 -ÿCapela (Penafiel),1,5,"5,"
4560 -ÿCasteläes,1,6,"6,"
4560 -ÿCroca,1,7,"7,"
4560 -ÿDuas Igrejasÿ[pt],1,8,"8,"
4575 -ÿEja,1,9,"9,"
4575 -ÿFigueira,1,10,"10,"
4560 -ÿFonte Arcada,1,11,"11,"
4560 -ÿGalegos,1,12,"12,"
4560 -ÿGuilhufe,1,13,"13,"
4560 -ÿIrivo,1,14,"14,"
4560 -ÿLagares,1,15,"15,"
4560 -ÿLuzim,1,16,"16,"
4560 -ÿMarecos,1,17,"17,"
4560 -ÿMilhundos,1,18,"18,"
4560 -ÿNovelasÿ[pt],1,19,"19,"
4575 -ÿOldräes,1,20,"20,"
4560 -ÿPa‡o de Sousa,1,21,"21,"
4575 -ÿParedes,1,22,"22,"
4560 -ÿPenafiel,1,23,"23,"
4560 -ÿPerozelo,1,24,"24,"
4575 -ÿPinheiro,1,25,"25,"
4575 -ÿPortela,1,26,"26,"
4560 -ÿRans,1,27,"27,"
4575 -ÿRio de Moinhos,1,28,"28,"
4560 -ÿSanta Marta,1,29,"29,"
4560 -ÿSantiago de Subarrifana,1,30,"30,"
4560 -ÿSÆo Mamede Recezinhos,1,31,"31,"
4560 -ÿSÆo Martinho Recezinhos,1,32,"32,"
4575 -ÿSebolido,1,33,"33,"
4560 -ÿUrr“,1,34,"34,"
4575 -ÿValpedre,1,35,"35,"
4560 -ÿVila Cova,1,36,"36,"
4575 -ÿRio Mau,1,37,"37,"
Porto Municipality[edit],0,38,"38,"
4100 -ÿAldoar,1,0,"0,"
4200 -ÿBonfim,1,1,"1,"
4350 -ÿCampanhÆ,1,2,"2,"
4250 -ÿCedofeita,1,3,"3,"
4150 -ÿFoz do Douro,1,4,"4,"
4150 -ÿLordelo do Ouro,1,5,"5,"
4150 -ÿMassarelos,1,6,"6,"
4050 -ÿMiragaia,1,7,"7,"
4150 -ÿNevogilde,1,8,"8,"
4200 -ÿParanhos,1,9,"9,"
4100 -ÿRamalde,1,10,"10,"
4000 -ÿSanto Ildefonso,1,11,"11,"
4050 -ÿSÆo Nicolau,1,12,"12,"
4000 -ÿS‚,1,13,"13,"
4050 -ÿVit¢ria,1,14,"14,"
P¢voa de Varzimÿmunicipality[edit],0,15,"15,"
4490 -ÿA Ver-o-Mar,1,0,"0,"
4495 -ÿAgu‡adoura,1,1,"1,"
4495 -ÿAmorim,1,2,"2,"
4490 -ÿArgivai,1,3,"3,"
4570 -ÿBalazar,1,4,"4,"
4495 -ÿBeiriz,1,5,"5,"
4570 -ÿEstela,1,6,"6,"
4570 -ÿLa£ndos,1,7,"7,"
4495 -ÿNavais,1,8,"8,"
4490 -ÿP¢voa de Varzim,1,9,"9,"
4570 -ÿRates,1,10,"10,"
4495 -ÿTerroso,1,11,"11,"
Santo Tirsoÿmunicipality[edit],0,12,"12,"
4825 -ÿAgrela,1,0,"0,"
4825 -ÿµgua Longa,1,1,"1,"
4780 -ÿAreias,1,2,"2,"
4795 -ÿAves,1,3,"3,"
4780 -ÿBurgÆes,1,4,"4,"
4825 -ÿCarreira,1,5,"5,"
4825 -ÿGuimarei,1,6,"6,"
4780 -ÿLama,1,7,"7,"
4825 -ÿLamelas,1,8,"8,"
4825 -ÿMonte C¢rdova,1,9,"9,"
4780 -ÿPalmeira,1,10,"10,"
4795 -ÿRebordäes,1,11,"11,"
4825 -ÿRefojos de Riba de Ave,1,12,"12,"
4825 -ÿReguenga,1,13,"13,"
4795 -ÿRoriz,1,14,"14,"
4780 -ÿCouto (Santa Cristina),1,15,"15,"
4780 -ÿSanto Tirso,1,16,"16,"
4795 -ÿSÆo Mamede Negrelos,1,17,"17,"
4795 -ÿSÆo Martinho Campo,1,18,"18,"
4780 -ÿCouto (SÆo Miguel),1,19,"19,"
4795 -ÿSÆo Salvador do Campo,1,20,"20,"
4795 -ÿSÆo Tom‚ Negrelos,1,21,"21,"
4780 -ÿSequeir¢,1,22,"22,"
4795 -ÿVilarinho,1,23,"23,"
Valongoÿmunicipality[edit],0,24,"24,"
4445 -ÿAlfena,1,0,"0,"
4440 -ÿCampo,1,1,"1,"
4445 -ÿErmesinde,1,2,"2,"
